City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating
Boston,42.3551473,-71.0599539,Boston Opera House,454ac4c0f964a520a33c1fe3,42.354014157833866,-71.06260197500153,Opera House,8.9
Boston,42.3551473,-71.0599539,The Freedom Trail,4b41657df964a5203dc625e3,42.357314159016994,-71.06103847963261,Historic Site,8.9
Boston,42.3551473,-71.0599539,Pabu Boston,580fff4938facc4e70a30904,42.35625539999999,-71.05941659999999,Sushi Restaurant,8.6
Boston,42.3551473,-71.0599539,Boston Chops,59b48cbf73fe25689b123946,42.35512136849123,-71.06161238381668,Steakhouse,8.5
Boston,42.3551473,-71.0599539,Caffè Nero,53734d5e498ef0e9f93925f3,42.353521004292276,-71.06234787647732,Coffee Shop,8.9
Boston,42.3551473,-71.0599539,Boston Wine Exchange,4bb25ed442959c7450be202c,42.35607020737536,-71.05741965976519,Wine Shop,8.7
Boston,42.3551473,-71.0599539,Roche Bros Downtown Crossing,5540d6c5498e208aca65220d,42.35536343310697,-71.06011730142201,Market,8.5
Boston,42.3551473,-71.0599539,Boston Athenaeum,4a4a438ff964a520a0ab1fe3,42.35748053766697,-71.06183760036927,Library,9.2
Boston,42.3551473,-71.0599539,Primark,55df0de6498e952c0fd490d9,42.35553779610866,-71.06009493485749,Clothing Store,8.5
Boston,42.3551473,-71.0599539,Archie's New York Deli,4ad62461f964a520530521e3,42.35533656296053,-71.05942372043775,Deli / Bodega,8.4
Boston,42.3551473,-71.0599539,haley.henry,57a50fbc498e6c05045175fa,42.357573626985655,-71.05949493285475,Restaurant,8.8
Boston,42.3551473,-71.0599539,Ogawa Coffee Boston,555a7a8f498eb839923af583,42.35667419913848,-71.05810867191069,Coffee Shop,8.5
Boston,42.3551473,-71.0599539,Tatte Bakery & Cafe,5c2f8ffcb25fee002b84e590,42.353111,-71.057117,Bakery,9.2
Boston,42.3551473,-71.0599539,Equinox Sports Club Boston,5480aa56498e68458c021c2b,42.353189,-71.063053,Gym,9.1
Boston,42.3551473,-71.0599539,Gordon's Fine Wine & Liquors,5684300b498ef6dcc3a5e616,42.355024897409926,-71.06204594150903,Liquor Store,8.3
Boston,42.3551473,-71.0599539,ruka,584c88b77d0f6d78855e39c9,42.35450329708895,-71.06177516468658,Asian Restaurant,8.3
Boston,42.3551473,-71.0599539,sweetgreen,572b7990498e53c1a5b9b2d2,42.357703617205935,-71.0587126799328,Salad Place,8.7
Boston,42.3551473,-71.0599539,Clover Food Lab FIN,577be842498e0a21aa1cc211,42.35371525349005,-71.05621626380778,Vegetarian / Vegan Restaurant,9.1
Boston,42.3551473,-71.0599539,DAVIDsTEA,50a80af2e4b0495d7ed38d60,42.35743097606041,-71.0586925794352,Tea Room,8.6
Boston,42.3551473,-71.0599539,Gene's Chinese Flatbread Cafe,51eff56c498e1fe71b259d44,42.35333234922326,-71.05937890340668,Chinese Restaurant,8.2
Boston,42.3551473,-71.0599539,JM Curley,4ed578ef8b81e3224623faeb,42.35542711844857,-71.06233923897577,Gastropub,8.2
Boston,42.3551473,-71.0599539,Shake Shack,5dc05702142eea000879ece6,42.35668,-71.05843,Burger Joint,8.2
Boston,42.3551473,-71.0599539,Boston Common,4283ee00f964a520dd221fe3,42.355487,-71.064882,Park,9.5
Boston,42.3551473,-71.0599539,Shawarma Falafel,52d56ef0498ef39cb9d6ca3c,42.35715,-71.05968,Falafel Restaurant,8.2
Boston,42.3551473,-71.0599539,The Merchant Kitchen & Drinks,531380ba498ebbd592d9ea8c,42.35562767531901,-71.05841540115365,New American Restaurant,8.1
Boston,42.3551473,-71.0599539,Ruth's Chris Steak House,525da4dd498eb92d634abc6f,42.358125,-71.059337,Steakhouse,8.7
Boston,42.3551473,-71.0599539,Planet Fitness,54b68481498e10f942109630,42.35586834945641,-71.06136338591666,Gym / Fitness Center,8.1
Boston,42.3551473,-71.0599539,Marliave,49fe2752f964a520796f1fe3,42.356930064003635,-71.06025724227246,New American Restaurant,8.1
Boston,42.3551473,-71.0599539,Kimpton Nine Zero Hotel,4a6e4e7df964a52075d41fe3,42.357388,-71.060696,Hotel,8.3
Boston,42.3551473,-71.0599539,Clover Food Lab DTX,56af7b5b498e9db1d9234e39,42.35767437884534,-71.05930564739923,American Restaurant,8.4
Boston,42.3551473,-71.0599539,Bonapita,53a84f07498e1d8dd81d22d4,42.355619093801536,-71.05887043792754,Mediterranean Restaurant,8.1
Boston,42.3551473,-71.0599539,Irish Famine Memorial,4bbb9c5d51b89c747070862a,42.357356135579344,-71.05852856252214,Sculpture Garden,8.3
